Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,-0.1793888174361101,0.334237677026952
Vejo a rede social muitas vezes todos os dias,Depressão,-0.07518070842357893,0.6877159714571461
Vejo a rede social muitas vezes todos os dias,Autoeficácia,-0.15302671068734566,0.41115616351745754
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,-0.06324295066635421,0.7353705180400152
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,0.07060284276978654,0.7058634265804204
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,0.4577537435748158,0.00961551767130746
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.03531284351009674,0.8504122280182014
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,0.3149638411264802,0.08438081569396794
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,-0.08952928180868111,0.631969107748046
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,0.013668669493943963,0.9418222264767738
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-1.3877787807814457e-17,0.9999999999999999
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,0.2352634829563147,0.20265116365480743
Eu acho que as redes sociais são muito úteis.,Ansiedade,0.10595796188918613,0.5705060087961599
Eu acho que as redes sociais são muito úteis.,Depressão,0.09635330447867003,0.6061135736286691
Eu acho que as redes sociais são muito úteis.,Autoeficácia,0.002221900097489334,0.9905352147774515
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,0.205057014013313,0.26846600258253805
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.19575912228514228,0.2912403565361427
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,0.2802291322639253,0.1267828703930961
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,0.24309440119620918,0.18759035081899486
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.23185617279799595,0.20945775459252924
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,0.26134760265176693,0.15556539163270658
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.41770987968034295,0.019378145940316612
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.07715068152016885,0.6799580899915637
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,0.3288749503311394,0.07084383053799069
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.2068361189646872,0.2642442008358962
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,0.1142171170972314,0.5406646164900385
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,0.2956875007622599,0.10630817411431298
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,0.10967189485714059,0.5569954172869794
Eu posso me expressar mais claramente usando redes sociais.,Depressão,0.009055372604758388,0.9614395606100993
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,-0.033223889671767086,0.8591708058558701
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,-0.1408442253690736,0.44980445323445906
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,-0.11792280646411601,0.5275203568276421
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,-0.42842433218845577,0.016190985222500627
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.23120865537004726,0.21076878071084446
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.05390231057417081,0.7733530949594185
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,-0.26230055253132367,0.15400903687253537
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,0.06983789021551039,0.7089116645955396
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.15385102505873655,0.4086104890722255
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,0.2566155591555814,0.1634613906276842
